dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,32,B cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,6.3818555,23.227076,none,0.0,0.0,0.0,0.0
Tabula Sapiens,41,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,20.69026,11.349488,none,0.0,0.0,0.0,0.0
Tabula Sapiens,53,"naive thymus-derived CD4-positive, alpha-beta T cell",t cell,lymph node,Lymph_Node,,,,,21.001892,10.968016,none,0.0,0.0,0.0,0.0
Tabula Sapiens,72,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,20.711567,11.286342,none,0.0,0.0,0.0,0.0
Tabula Sapiens,117,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,20.702238,11.114862,none,0.0,0.0,0.0,0.0
Tabula Sapiens,121,B cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,6.3635106,23.414404,none,0.0,0.0,0.0,0.0
Tabula Sapiens,123,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,20.68512,11.393384,none,0.0,0.0,0.0,0.0
Tabula Sapiens,126,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,20.763067,11.294561,none,0.0,0.0,0.0,0.0
Tabula Sapiens,129,plasma cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,15.94831,19.798798,none,0.0,0.0,0.0,0.0
Tabula Sapiens,182,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,7.003494,19.58445,none,0.0,0.0,0.0,0.0
Tabula Sapiens,214,"CD8-positive, alpha-beta T cell",t cell,lymph node,Lymph_Node,,,,,21.30609,10.640318,none,0.0,0.0,0.0,0.0
Tabula Sapiens,226,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,20.62167,11.441024,none,0.0,0.0,0.0,0.0
Tabula Sapiens,285,B cell,lymphocyte of b lineage,lymph node,Lymph_Node,,,,,6.359712,23.462215,none,0.0,0.0,0.0,0.0
Tabula Sapiens,320,innate lymphoid cell,innate lymphoid cell,lymph node,Lymph_Node,,,,,21.114096,10.926778,none,0.0,0.0,0.0,0.0
Tabula Sapiens,331,"CD8-positive, alpha-beta thymocyte",t cell,thymus,Thymus,,,,,21.30721,10.530921,none,0.0,0.0,0.0,0.0
Tabula Sapiens,352,intrahepatic cholangiocyte,duct epithelial cell,liver,Liver,,,,,20.677465,7.6799393,none,0.0,0.0,0.0,0.0
Tabula Sapiens,373,intrahepatic cholangiocyte,duct epithelial cell,liver,Liver,,,,,20.688173,7.6450367,none,0.5903023,0.0,0.61411595,0.0
Tabula Sapiens,383,myeloid cell,hematopoietic cell,liver,Liver,,,,,6.1246696,18.37824,none,0.0,0.0,0.0,0.0
Tabula Sapiens,387,myeloid cell,hematopoietic cell,liver,Liver,,,,,5.9436264,18.591074,none,0.0,0.0,0.0,0.0
Tabula Sapiens,389,myeloid cell,hematopoietic cell,liver,Liver,,,,,6.1104336,18.219435,none,0.0,0.0,0.0,0.0
Tabula Sapiens,403,myeloid cell,hematopoietic cell,liver,Liver,,,,,5.9141545,18.31104,none,0.0,0.0,0.0,0.0
Tabula Sapiens,407,myeloid cell,hematopoietic cell,liver,Liver,,,,,6.6020474,18.186193,none,0.0,0.0,0.0,0.0
Tabula Sapiens,412,myeloid cell,hematopoietic cell,liver,Liver,,,,,6.0123506,18.430437,none,0.0,0.0,0.0,0.0
Tabula Sapiens,449,erythrocyte,erythroid lineage cell,heart,Heart,,,,,18.884747,8.257584,none,0.0,0.0,0.0,0.0
Tabula Sapiens,457,regular atrial cardiac myocyte,contractile cell,heart,Heart,,,,,18.75954,8.352089,none,0.0,0.0,0.0,0.0
Tabula Sapiens,462,mesothelial cell,meso-epithelial cell,heart,Heart,,,,,19.971283,8.299052,none,0.0,0.0,0.0,0.0
Tabula Sapiens,536,neutrophil,granulocyte,lung,Lung,,,,,5.2166595,19.580633,none,0.0,0.0,0.0,0.0
Tabula Sapiens,548,macrophage,myeloid leukocyte,lung,Lung,,,,,6.67797,17.351461,none,0.0,0.0,0.0,0.34119505
Tabula Sapiens,577,non-classical monocyte,myeloid leukocyte,lung,Lung,,,,,6.7901473,17.110764,none,0.0,0.0,0.0,0.0
Tabula Sapiens,585,macrophage,myeloid leukocyte,lung,Lung,,,,,6.7947836,17.335,ADORA3,0.0,0.0,0.0,1.9360327
Tabula Sapiens,599,non-classical monocyte,myeloid leukocyte,lung,Lung,,,,,6.9073424,17.128223,none,0.0,0.0,0.0,0.0
Tabula Sapiens,614,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.834866,9.933994,none,0.0,0.0,0.0,0.0
Tabula Sapiens,641,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,19.401928,8.997855,none,0.0,0.0,0.0,0.0
Tabula Sapiens,644,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.285982,9.631793,none,0.0,0.0,0.0,0.0
Tabula Sapiens,670,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.829807,9.895758,none,0.0,0.0,0.0,0.0
Tabula Sapiens,690,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.82242,9.7999525,none,0.0,0.0,0.0,0.0
Tabula Sapiens,693,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.945513,9.098334,none,0.0,0.0,0.0,0.0
Tabula Sapiens,695,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.963034,8.8703165,none,0.0,0.0,0.0,0.0
Tabula Sapiens,696,skeletal muscle satellite stem cell,stem cell,muscle of abdomen,Muscle,,,,,19.55815,9.273299,none,0.0,0.0,0.0,0.0
Tabula Sapiens,700,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.623243,9.460978,none,0.0,0.0,0.0,0.0
Tabula Sapiens,707,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.162796,9.946041,none,0.0,0.0,0.0,0.0
Tabula Sapiens,714,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.356092,9.396196,none,0.0,0.0,0.0,0.0
Tabula Sapiens,760,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,20.34231,8.880678,none,0.0,0.0,0.0,0.0
Tabula Sapiens,777,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.723183,9.921527,none,0.0,0.0,0.0,0.0
Tabula Sapiens,795,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.880173,9.831145,none,0.0,0.0,0.0,0.0
Tabula Sapiens,800,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.282087,10.135742,none,0.0,0.0,0.0,0.0
Tabula Sapiens,801,mesenchymal stem cell,stem cell,muscle of abdomen,Muscle,,,,,19.828293,10.007676,none,0.0,0.0,0.0,0.0
Tabula Sapiens,817,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.802906,10.041081,none,0.0,0.0,0.0,0.0
Tabula Sapiens,830,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,19.733479,9.795746,none,0.0,0.0,0.0,0.0
Tabula Sapiens,831,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,20.167377,8.909095,none,0.0,0.0,0.0,0.0
Tabula Sapiens,832,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.383709,9.793515,none,0.0,0.0,0.0,0.0
Tabula Sapiens,835,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,20.2234,9.329592,none,0.0,0.0,0.0,0.0
Tabula Sapiens,836,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.753885,10.037597,none,0.0,0.0,0.0,0.0
Tabula Sapiens,871,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.822102,9.724674,none,0.0,0.0,0.0,0.0
Tabula Sapiens,892,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.821537,9.931866,none,0.0,0.0,0.0,0.0
Tabula Sapiens,898,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.292355,9.714125,none,0.0,0.0,0.0,0.0
Tabula Sapiens,947,natural killer cell,innate lymphoid cell,spleen,Spleen,,,,,21.334656,10.711342,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1013,mature NK T cell,t cell,spleen,Spleen,,,,,21.483284,10.678036,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064,mature NK T cell,t cell,spleen,Spleen,,,,,21.32158,10.816889,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1085,mature NK T cell,t cell,spleen,Spleen,,,,,21.254583,10.784613,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1265,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.574087,10.282511,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1270,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,20.09841,12.65994,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1286,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,19.54308,9.260192,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1293,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.903896,9.077076,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1318,pericyte,contractile cell,muscle of abdomen,Muscle,,,,,19.480959,9.339159,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1334,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,-0.24828291,18.572798,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1339,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.523039,9.670853,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1346,capillary endothelial cell,endothelial cell,muscle of abdomen,Muscle,,,,,19.715872,10.063346,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1349,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.63143,10.324469,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1352,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,20.166245,12.666551,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1353,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,20.069395,8.923984,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1360,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.556505,10.106688,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1377,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.853819,12.617691,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1380,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.584219,9.230623,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1401,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.937164,9.051603,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1404,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,20.00524,9.051467,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1465,fast muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,1.23022,20.082806,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1466,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,19.701633,10.115435,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1468,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.645292,10.0072975,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1475,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,19.991915,9.0890875,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1493,mesenchymal stem cell,stem cell,muscle of abdomen,Muscle,,,,,19.82505,9.897286,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1511,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,20.05409,9.144755,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1529,skeletal muscle satellite stem cell,stem cell,muscle of abdomen,Muscle,,,,,19.578962,9.33007,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1542,tendon cell,stromal cell,muscle of abdomen,Muscle,,,,,20.00155,9.56057,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1546,slow muscle cell,contractile cell,muscle of abdomen,Muscle,,,,,20.163958,12.7060795,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1613,"CD4-positive, alpha-beta T cell",t cell,bone marrow,Bone_Marrow,,,,,21.311037,10.71449,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1624,monocyte,myeloid leukocyte,bone marrow,Bone_Marrow,,,,,18.855867,8.397207,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1646,monocyte,myeloid leukocyte,bone marrow,Bone_Marrow,,,,,18.843538,8.265889,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1665,erythroid progenitor cell,stem cell,bone marrow,Bone_Marrow,,,,,6.6588106,20.13547,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1669,monocyte,myeloid leukocyte,bone marrow,Bone_Marrow,,,,,18.876537,8.259595,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1678,"CD8-positive, alpha-beta T cell",t cell,bone marrow,Bone_Marrow,,,,,21.30238,10.580917,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1714,"CD4-positive, alpha-beta T cell",t cell,bone marrow,Bone_Marrow,,,,,21.143734,10.67033,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1750,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.75319,7.189025,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1753,ciliated epithelial cell,ciliated epithelial cell,uterus,Uterus,,,,,20.395563,7.1941156,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1756,epithelial fate stem cell,stem cell,uterus,Uterus,,,,,20.359352,7.3178387,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1765,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.044058,8.432108,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1768,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.268297,7.778526,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1775,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.989653,8.087736,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1778,epithelial fate stem cell,stem cell,uterus,Uterus,,,,,20.467905,7.718093,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1780,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.579218,7.479538,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1794,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.876276,7.6462297,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1802,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,18.976963,7.5663986,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1815,ciliated epithelial cell,ciliated epithelial cell,uterus,Uterus,,,,,19.43199,7.1887197,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1830,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.607668,7.707812,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1833,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.378225,7.504505,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1842,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.282213,7.6466193,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1843,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.318329,7.4125423,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1845,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,18.969805,8.208571,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1848,endothelial cell of lymphatic vessel,endothelial cell,uterus,Uterus,,,,,20.177305,8.535289,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1852,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.813221,7.488388,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1854,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.932133,8.382661,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1861,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.834047,7.743117,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1863,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.636557,8.268935,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1865,ciliated epithelial cell,ciliated epithelial cell,uterus,Uterus,,,,,20.019852,7.431666,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1866,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.227785,7.5233965,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1880,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.728964,7.522025,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1881,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.0672,6.991269,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1882,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,20.651873,7.7353024,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1889,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.824305,8.47009,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1892,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.083416,7.7925315,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1901,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.543156,7.991075,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1904,epithelial cell of uterus,endo-epithelial cell,uterus,Uterus,,,,,19.402906,7.663359,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1910,endothelial cell of lymphatic vessel,endothelial cell,uterus,Uterus,,,,,21.327803,8.153192,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1917,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.134981,8.963462,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1918,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.994402,8.27019,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1919,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.82943,8.291615,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1920,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.75958,9.764239,none,0.0,0.018735666,0.0,0.0
Tabula Sapiens,1921,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.059185,7.65847,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1923,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.907738,8.21113,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1924,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.748766,10.228227,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1927,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,21.064785,10.1347065,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1930,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.83105,8.345573,ADORA1,0.7922804,0.0,0.0,0.0
Tabula Sapiens,1932,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.968994,9.693595,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1934,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.945793,8.374553,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1935,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.799267,9.87386,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1938,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.883575,9.96177,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1940,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.013271,8.383585,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1942,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.442966,9.353929,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1943,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.029776,8.04028,ADORA1,0.7669786,0.0,0.0,0.0
Tabula Sapiens,1944,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.696573,9.564362,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1946,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.495167,9.414225,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1949,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.926254,10.198022,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1951,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.973465,9.95461,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1954,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.210264,9.118038,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1955,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.667599,8.306898,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1956,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.922096,8.332581,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1959,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.852333,8.277644,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1960,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.92593,8.301645,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1962,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.417469,9.20065,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1963,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.801249,8.289197,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1964,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.060001,8.228587,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1965,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.285322,8.429608,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1968,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.832994,9.833658,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1970,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.509987,9.319713,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1971,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,21.25814,10.35151,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1973,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.326052,9.182234,none,0.0081697665,0.0,0.0,0.0
Tabula Sapiens,1975,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.9496,8.398243,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1976,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.002811,8.213324,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1977,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.262693,9.046426,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1978,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.449945,9.336068,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1980,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.90581,9.969392,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1981,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.95372,8.2451515,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1982,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,19.198093,8.576983,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1983,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.931665,10.137567,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1985,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.911201,8.341938,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1987,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.582891,9.4041815,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1988,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,18.858784,8.346994,none,0.0,0.0,0.0,0.6968931
Tabula Sapiens,1989,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.7279,9.733403,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1992,leukocyte,hematopoietic cell,adipose tissue,Fat,,,,,20.9656,10.407576,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2045,macrophage,myeloid leukocyte,muscle of abdomen,Muscle,,,,,6.039495,17.87057,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2121,myeloid dendritic cell,dendritic cell,muscle of abdomen,Muscle,,,,,6.249177,17.830069,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2168,endothelial cell of vascular tree,endothelial cell,muscle of abdomen,Muscle,,,,,20.864367,8.657724,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2234,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.631967,11.724548,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2256,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.7666645,11.640778,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2265,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.134751,11.606935,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2304,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.829626,11.5408745,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2319,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.160378,11.576226,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2329,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.907338,11.589348,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2356,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.258734,11.272583,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2428,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.668371,11.487132,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2476,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.123465,11.585784,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2501,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.180855,11.567625,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2509,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.264135,11.132959,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2554,stromal cell,stromal cell,ovary,Ovary,,,,,18.739563,8.138943,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2623,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.202257,11.37188,none,0.0,0.07036115,0.0,0.0
Tabula Sapiens,2634,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.270174,11.166036,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2639,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.832395,11.567531,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2660,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.12516,11.657251,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2669,leukocyte,hematopoietic cell,ovary,Ovary,,,,,21.119104,11.647687,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2677,theca cell,stromal cell,ovary,Ovary,,,,,17.429897,6.31507,none,0.0,0.0,0.0,0.0
Tabula Sapiens,2683,smooth muscle cell,contractile cell,ovary,Ovary,,,,,9.953021,11.535734,none,0.0,0.0,0.0,0.0
